rowID,stamp,datetime,hum
205999,1497825407, 18/6/2017 22:33:227,63.4
206999,1497825408, 18/6/2017 22:33:228,63.4
207998,1497825409, 18/6/2017 22:33:229,63.4
208999,1497825410, 18/6/2017 22:33:230,63.4
209999,1497825411, 18/6/2017 22:33:231,63.5
211000,1497825412, 18/6/2017 22:33:232,63.5
211998,1497825413, 18/6/2017 22:33:233,63.5
213000,1497825414, 18/6/2017 22:33:234,63.5
213999,1497825415, 18/6/2017 22:33:235,63.5
214999,1497825416, 18/6/2017 22:33:236,63.7
215999,1497825417, 18/6/2017 22:33:237,63.7
216998,1497825418, 18/6/2017 22:33:238,63.8
217999,1497825419, 18/6/2017 22:33:239,63.8
218998,1497825420, 18/6/2017 22:33:240,63.7
219999,1497825421, 18/6/2017 22:33:241,63.7
220999,1497825422, 18/6/2017 22:33:242,63.8
221999,1497825423, 18/6/2017 22:33:243,63.8
222999,1497825424, 18/6/2017 22:33:244,63.8
224000,1497825425, 18/6/2017 22:33:245,63.8
224999,1497825426, 18/6/2017 22:33:246,63.8
225998,1497825427, 18/6/2017 22:33:247,63.8
226999,1497825428, 18/6/2017 22:33:248,63.8
227998,1497825429, 18/6/2017 22:33:249,63.8
228999,1497825430, 18/6/2017 22:33:250,63.8
229998,1497825431, 18/6/2017 22:33:251,63.8
230999,1497825432, 18/6/2017 22:33:252,63.8
231999,1497825433, 18/6/2017 22:33:253,63.8
232998,1497825434, 18/6/2017 22:33:254,63.8
233999,1497825435, 18/6/2017 22:33:255,63.8
234999,1497825436, 18/6/2017 22:33:256,63.7
235999,1497825437, 18/6/2017 22:33:257,63.7
236998,1497825438, 18/6/2017 22:33:258,63.7
237999,1497825439, 18/6/2017 22:33:259,63.7
238999,1497825440, 18/6/2017 22:33:260,63.7
239998,1497825441, 18/6/2017 22:33:261,63.7
240999,1497825442, 18/6/2017 22:33:262,63.8
242000,1497825443, 18/6/2017 22:33:263,63.8
242999,1497825444, 18/6/2017 22:33:264,63.8
244000,1497825445, 18/6/2017 22:33:265,63.8
245000,1497825446, 18/6/2017 22:33:266,63.8
245998,1497825447, 18/6/2017 22:33:267,63.8
246999,1497825448, 18/6/2017 22:33:268,63.8
248000,1497825449, 18/6/2017 22:33:269,63.8
248999,1497825450, 18/6/2017 22:33:270,63.8
250000,1497825451, 18/6/2017 22:33:271,63.8
250999,1497825452, 18/6/2017 22:33:272,63.8
251999,1497825453, 18/6/2017 22:33:273,63.8
252999,1497825454, 18/6/2017 22:33:274,63.9
253999,1497825455, 18/6/2017 22:33:275,63.9
255000,1497825456, 18/6/2017 22:33:276,64
255998,1497825457, 18/6/2017 22:33:277,64
257000,1497825458, 18/6/2017 22:33:278,64.1
257999,1497825459, 18/6/2017 22:33:279,64.1
259000,1497825460, 18/6/2017 22:33:280,64.1
259999,1497825461, 18/6/2017 22:33:281,64.1
260999,1497825462, 18/6/2017 22:33:282,64.1
261999,1497825463, 18/6/2017 22:33:283,64.2
262999,1497825464, 18/6/2017 22:33:284,64.2
264000,1497825465, 18/6/2017 22:33:285,64.2
264999,1497825466, 18/6/2017 22:33:286,64.2
266000,1497825467, 18/6/2017 22:33:287,64.2
267000,1497825468, 18/6/2017 22:33:288,64.2
267999,1497825469, 18/6/2017 22:33:289,64.2
268998,1497825470, 18/6/2017 22:33:290,64.2
269999,1497825471, 18/6/2017 22:33:291,64.2
271000,1497825472, 18/6/2017 22:33:292,64.2
272000,1497825473, 18/6/2017 22:33:293,64.2
272999,1497825474, 18/6/2017 22:33:294,64.2
273999,1497825475, 18/6/2017 22:33:295,64.2
274999,1497825476, 18/6/2017 22:33:296,64.2
275999,1497825477, 18/6/2017 22:33:297,64.2
276999,1497825478, 18/6/2017 22:33:298,64.2
277999,1497825479, 18/6/2017 22:33:299,64.2
278999,1497825480, 18/6/2017 22:33:300,64.2
280000,1497825481, 18/6/2017 22:33:301,64.2
280998,1497825482, 18/6/2017 22:33:302,64.2
282000,1497825483, 18/6/2017 22:33:303,64.2
283000,1497825484, 18/6/2017 22:33:304,64.2
283999,1497825485, 18/6/2017 22:33:305,64.2
284999,1497825486, 18/6/2017 22:33:306,64.2
285999,1497825487, 18/6/2017 22:33:307,64.2
286999,1497825488, 18/6/2017 22:33:308,64.3
287998,1497825489, 18/6/2017 22:33:309,64.3
288999,1497825490, 18/6/2017 22:33:310,64.3
289999,1497825491, 18/6/2017 22:33:311,64.3
290999,1497825492, 18/6/2017 22:33:312,64.3
291998,1497825493, 18/6/2017 22:33:313,64.3
293000,1497825494, 18/6/2017 22:33:314,64.3
293999,1497825495, 18/6/2017 22:33:315,64.4
294999,1497825496, 18/6/2017 22:33:316,64.4
